cpu_usage,memory_usage,latency,packet_loss,bandwidth,device_type,location,health_status
90,53,98,1.49,12,Firewall,HQ,Critical
71,87,64,0.6,59,Router,Datacenter,Warning
25,55,73,2.01,78,Firewall,Datacenter,Warning
64,36,12,1.56,43,Firewall,HQ,Warning
95,89,60,0.7,75,Switch,Datacenter,Critical
6,32,44,0.66,96,Router,HQ,Healthy
90,76,112,2.59,62,Router,HQ,Critical
97,65,98,4.3,47,Switch,Branch Office,Critical
95,70,62,4.68,20,Firewall,Branch Office,Critical
62,64,65,1.22,85,Router,HQ,Warning
22,49,98,3.23,100,Router,Datacenter,Critical
53,34,57,3.42,71,Firewall,Branch Office,Critical
98,60,60,0.65,14,Firewall,Branch Office,Critical
92,64,70,3.86,98,Router,HQ,Critical
68,61,72,0.99,66,Firewall,HQ,Warning
81,12,20,4.36,59,Switch,Datacenter,Critical
68,16,63,1.05,61,Switch,HQ,Warning
26,21,21,1.31,61,Firewall,Datacenter,Warning
31,60,34,3.41,48,Firewall,Datacenter,Critical
45,60,102,0.02,11,Switch,HQ,Critical
50,82,67,0.22,17,Router,HQ,Warning
82,52,53,3.67,23,Firewall,Datacenter,Critical
91,82,42,4.26,30,Switch,Branch Office,Critical
71,54,111,3.55,71,Switch,Branch Office,Critical
35,61,114,4.71,68,Router,HQ,Critical
9,11,60,1.61,28,Switch,Datacenter,Warning
43,13,14,4.68,28,Router,HQ,Critical
9,35,13,1.48,97,Switch,HQ,Warning
94,22,95,1.92,46,Firewall,HQ,Critical
46,82,28,2.02,77,Switch,HQ,Warning
18,69,42,0.9,64,Router,Branch Office,Healthy
92,12,57,2.11,50,Router,Branch Office,Critical
34,44,61,2.25,40,Firewall,Branch Office,Warning
38,90,68,1.33,48,Firewall,HQ,Warning
70,35,98,1.76,28,Router,Branch Office,Critical
8,40,83,1.0,48,Router,Branch Office,Warning
38,42,8,1.39,52,Firewall,HQ,Warning
43,71,36,4.51,36,Firewall,Datacenter,Critical
48,94,37,0.08,97,Firewall,HQ,Critical
97,16,101,3.37,75,Router,Datacenter,Critical
16,37,58,0.42,56,Router,HQ,Healthy
7,55,114,2.52,70,Router,Branch Office,Critical
84,95,58,0.31,38,Router,Datacenter,Critical
38,81,26,1.19,49,Router,HQ,Warning
72,24,70,0.79,38,Firewall,HQ,Warning
48,28,86,4.0,72,Switch,Datacenter,Critical
69,22,82,4.16,86,Firewall,Datacenter,Critical
90,87,31,4.3,42,Switch,HQ,Critical
68,65,16,2.95,87,Router,HQ,Warning
31,27,47,3.93,71,Switch,Branch Office,Critical
70,71,110,2.61,96,Firewall,Datacenter,Critical
25,11,109,2.96,100,Switch,HQ,Critical
28,57,111,2.02,74,Switch,HQ,Critical
75,42,5,0.39,46,Firewall,Datacenter,Warning
69,52,18,0.12,43,Switch,HQ,Warning
77,87,61,4.83,57,Switch,HQ,Critical
52,11,89,0.79,36,Switch,Branch Office,Warning
9,59,112,3.12,49,Firewall,Branch Office,Critical
24,13,41,4.73,98,Router,HQ,Critical
56,76,47,4.16,56,Switch,Datacenter,Critical
15,10,37,0.51,18,Router,HQ,Healthy
73,78,64,2.81,51,Firewall,Datacenter,Warning
41,47,53,0.14,67,Switch,Branch Office,Healthy
27,17,82,2.18,96,Firewall,HQ,Warning
9,92,22,1.05,79,Firewall,Branch Office,Critical
8,41,111,3.0,47,Switch,HQ,Critical
44,71,35,1.02,11,Firewall,HQ,Warning
18,42,86,2.85,57,Switch,HQ,Warning
73,16,61,0.55,85,Firewall,Branch Office,Warning
71,23,41,2.82,73,Router,HQ,Warning
6,92,53,2.61,32,Switch,Branch Office,Critical
32,43,86,3.27,46,Router,Branch Office,Critical
13,39,79,2.61,55,Firewall,Branch Office,Warning
62,72,22,2.8,82,Firewall,Branch Office,Warning
26,85,97,0.6,31,Switch,Datacenter,Critical
9,59,66,4.15,28,Router,HQ,Critical
77,38,18,4.47,20,Firewall,Branch Office,Critical
22,48,29,2.84,98,Switch,Branch Office,Warning
70,88,69,4.48,39,Firewall,Branch Office,Critical
28,75,90,3.81,68,Firewall,Datacenter,Critical
40,65,32,2.23,43,Switch,Datacenter,Warning
53,14,11,2.77,82,Firewall,Datacenter,Warning
23,28,78,4.12,72,Firewall,Datacenter,Critical
63,89,58,1.63,100,Switch,Datacenter,Warning
86,91,70,4.02,62,Router,Datacenter,Critical
24,58,115,2.19,30,Switch,HQ,Critical
29,26,5,0.1,57,Switch,HQ,Healthy
56,45,13,4.23,32,Switch,HQ,Critical
23,26,117,0.97,77,Switch,HQ,Critical
79,78,108,0.09,57,Firewall,Branch Office,Critical
66,87,17,0.17,71,Firewall,Branch Office,Warning
90,64,87,4.72,81,Router,Datacenter,Critical
76,67,17,2.45,47,Firewall,Branch Office,Warning
77,46,102,4.91,83,Router,Datacenter,Critical
28,66,86,4.52,34,Switch,Branch Office,Critical
28,18,97,4.55,19,Router,Branch Office,Critical
30,34,59,4.39,70,Router,Datacenter,Critical
38,49,79,0.09,34,Router,Datacenter,Warning
77,39,3,1.98,61,Router,Branch Office,Warning
60,95,89,4.11,39,Switch,HQ,Critical
61,62,82,0.52,23,Router,Branch Office,Warning
31,13,106,2.13,57,Firewall,Datacenter,Critical
43,15,45,4.52,42,Router,HQ,Critical
25,89,115,1.24,75,Switch,Datacenter,Critical
13,30,17,1.45,48,Firewall,HQ,Warning
17,27,77,1.28,52,Firewall,HQ,Warning
51,62,32,4.12,40,Firewall,Branch Office,Critical
79,60,30,2.76,42,Router,Datacenter,Warning
75,21,54,2.81,14,Router,HQ,Warning
33,73,90,1.05,86,Switch,Branch Office,Warning
38,27,80,4.74,10,Router,HQ,Critical
90,16,26,2.0,41,Firewall,Datacenter,Critical
62,64,34,1.37,68,Switch,Branch Office,Warning
58,87,84,2.56,86,Router,HQ,Warning
22,21,55,4.47,68,Switch,HQ,Critical
12,94,114,1.9,59,Firewall,Datacenter,Critical
10,90,44,3.14,37,Switch,Branch Office,Critical
36,14,114,1.53,15,Firewall,Branch Office,Critical
15,18,37,1.76,28,Firewall,Datacenter,Warning
91,74,33,0.43,60,Switch,Branch Office,Critical
93,92,114,3.32,90,Switch,Datacenter,Critical
21,92,25,1.68,44,Firewall,Datacenter,Critical
53,77,75,0.49,93,Router,Datacenter,Warning
28,77,104,1.21,60,Switch,HQ,Critical
29,24,77,1.9,74,Firewall,Branch Office,Warning
50,82,69,1.21,64,Router,Branch Office,Warning
71,64,107,0.44,62,Firewall,Datacenter,Critical
50,64,52,0.36,51,Firewall,HQ,Healthy
60,13,87,1.94,19,Router,HQ,Warning
32,58,31,1.75,60,Router,HQ,Warning
27,35,15,3.58,19,Router,HQ,Critical
37,82,46,3.18,48,Firewall,HQ,Critical
48,68,73,4.37,83,Firewall,Datacenter,Critical
12,55,98,3.44,98,Switch,HQ,Critical
55,68,37,4.57,11,Switch,Branch Office,Critical
15,57,79,0.56,56,Switch,Datacenter,Warning
55,62,16,4.28,42,Firewall,Datacenter,Critical
35,88,57,0.58,13,Switch,Datacenter,Warning
74,24,47,3.44,97,Switch,HQ,Critical
12,43,45,0.21,23,Switch,Datacenter,Healthy
39,61,60,3.31,92,Switch,Datacenter,Critical
79,20,81,2.08,82,Firewall,Datacenter,Warning
8,29,26,0.03,62,Switch,Branch Office,Healthy
17,11,63,2.57,95,Router,Datacenter,Warning
28,66,32,1.5,79,Switch,HQ,Warning
40,64,68,1.37,56,Router,Branch Office,Warning
52,95,69,5.0,93,Switch,HQ,Critical
22,54,113,4.04,48,Switch,Datacenter,Critical
74,46,56,0.35,84,Router,Branch Office,Warning
63,49,116,3.27,40,Router,Datacenter,Critical
44,25,103,4.65,31,Switch,HQ,Critical
84,50,91,1.44,89,Switch,HQ,Critical
34,78,22,4.68,91,Switch,Datacenter,Critical
85,23,40,2.79,94,Firewall,Datacenter,Warning
67,60,101,2.96,10,Switch,Branch Office,Critical
26,36,110,1.39,54,Firewall,Datacenter,Critical
55,58,54,0.57,39,Switch,Branch Office,Healthy
90,39,48,1.0,82,Router,Branch Office,Critical
79,72,75,4.09,88,Router,Datacenter,Critical
88,34,6,0.88,87,Switch,HQ,Critical
59,54,65,2.56,76,Router,HQ,Warning
52,29,58,2.82,22,Router,Branch Office,Warning
28,90,19,2.72,73,Router,Datacenter,Warning
17,50,109,2.37,18,Router,Datacenter,Critical
88,26,50,3.02,92,Switch,Datacenter,Critical
85,67,92,4.74,57,Switch,Branch Office,Critical
23,87,107,2.81,47,Firewall,Branch Office,Critical
69,45,24,4.14,57,Router,Branch Office,Critical
88,17,97,2.84,92,Router,HQ,Critical
80,13,101,3.52,44,Router,HQ,Critical
65,54,119,4.37,41,Router,Datacenter,Critical
80,91,49,3.72,30,Firewall,Branch Office,Critical
6,46,30,1.24,53,Switch,HQ,Warning
85,52,97,0.03,13,Firewall,HQ,Critical
17,95,114,0.06,50,Firewall,HQ,Critical
89,29,29,4.14,14,Switch,Datacenter,Critical
43,34,30,1.76,21,Router,Branch Office,Warning
65,63,115,1.2,75,Firewall,Datacenter,Critical
88,43,47,1.73,15,Switch,HQ,Critical
35,64,114,1.39,40,Router,Datacenter,Critical
27,95,37,3.95,36,Firewall,HQ,Critical
22,68,6,1.57,58,Router,Branch Office,Warning
46,18,33,2.9,45,Switch,Branch Office,Warning
81,33,98,3.75,41,Firewall,Datacenter,Critical
65,44,16,0.14,13,Firewall,Branch Office,Healthy
74,82,49,2.66,39,Switch,HQ,Warning
20,90,35,1.58,60,Switch,HQ,Warning
68,42,50,0.36,42,Router,HQ,Warning
14,27,67,0.77,87,Router,HQ,Warning
61,87,61,0.36,30,Firewall,Branch Office,Warning
63,60,83,0.07,31,Firewall,Datacenter,Warning
56,88,42,1.12,63,Firewall,HQ,Warning
65,46,65,2.95,54,Router,HQ,Warning
45,65,15,3.52,18,Firewall,HQ,Critical
23,18,8,1.79,28,Router,Datacenter,Warning
25,45,3,1.97,73,Router,Datacenter,Warning
25,44,62,4.84,74,Router,Datacenter,Critical
66,24,11,2.74,60,Firewall,Datacenter,Warning
46,26,35,4.86,39,Switch,Branch Office,Critical
26,63,9,1.93,30,Switch,HQ,Warning
53,55,5,4.5,75,Switch,Datacenter,Critical
7,70,61,0.25,96,Switch,HQ,Warning
30,47,117,0.43,11,Firewall,HQ,Critical
80,43,37,0.05,13,Switch,HQ,Warning
18,90,86,3.12,42,Firewall,Branch Office,Critical
91,16,92,4.38,67,Switch,Branch Office,Critical
33,94,22,4.32,58,Switch,Branch Office,Critical
59,26,61,3.47,68,Switch,HQ,Critical
69,55,62,2.44,26,Switch,HQ,Warning
39,93,77,2.17,41,Router,HQ,Critical
16,66,105,2.02,24,Switch,HQ,Critical
82,29,60,4.63,50,Firewall,Datacenter,Critical
85,87,7,4.44,16,Router,Branch Office,Critical
31,63,7,0.85,35,Switch,Datacenter,Healthy
12,48,83,0.63,88,Switch,Branch Office,Warning
14,33,92,4.03,22,Router,Branch Office,Critical
18,88,35,3.46,100,Firewall,Branch Office,Critical
75,42,104,2.39,57,Firewall,Datacenter,Critical
75,86,117,1.5,79,Firewall,Branch Office,Critical
84,67,78,0.68,47,Switch,Datacenter,Warning
75,10,54,2.27,30,Switch,Branch Office,Warning
81,27,8,4.84,52,Switch,HQ,Critical
56,73,111,2.07,52,Router,Branch Office,Critical
86,40,34,0.64,84,Router,Branch Office,Critical
72,59,115,4.54,45,Router,HQ,Critical
79,72,120,3.99,11,Router,HQ,Critical
47,33,68,4.17,15,Router,Branch Office,Critical
37,63,102,0.37,100,Switch,HQ,Critical
74,64,104,4.7,31,Firewall,Datacenter,Critical
61,39,80,0.59,43,Firewall,Branch Office,Warning
91,41,110,1.56,47,Firewall,HQ,Critical
16,73,86,1.95,44,Firewall,Datacenter,Warning
92,44,90,4.26,20,Router,Branch Office,Critical
20,22,8,0.11,96,Switch,Datacenter,Healthy
46,63,26,3.0,58,Firewall,Branch Office,Warning
74,51,35,0.75,77,Firewall,Datacenter,Warning
36,55,89,2.81,58,Firewall,HQ,Warning
7,68,92,3.97,97,Switch,Datacenter,Critical
81,46,27,0.99,56,Firewall,Datacenter,Warning
25,68,107,0.8,17,Router,Datacenter,Critical
16,11,72,1.81,54,Firewall,Branch Office,Warning
30,28,32,1.82,18,Switch,HQ,Warning
64,29,113,2.09,13,Router,Datacenter,Critical
64,32,8,2.41,39,Router,Datacenter,Warning
17,63,104,1.0,97,Switch,Datacenter,Critical
92,21,28,2.88,27,Switch,Datacenter,Critical
6,67,94,2.83,69,Router,Datacenter,Critical
15,84,77,2.09,24,Firewall,Datacenter,Warning
89,52,118,3.65,84,Router,Branch Office,Critical
95,94,87,4.75,44,Router,Datacenter,Critical
79,51,66,1.2,89,Router,HQ,Warning
92,25,51,0.63,46,Firewall,Datacenter,Critical
63,43,26,3.67,84,Switch,Branch Office,Critical
85,43,102,0.95,21,Firewall,Branch Office,Critical
22,58,58,0.26,80,Router,Datacenter,Healthy
98,87,99,1.18,53,Firewall,Datacenter,Critical
39,36,73,3.04,88,Router,Branch Office,Critical
47,24,53,4.61,75,Firewall,HQ,Critical
35,14,71,2.42,31,Switch,Branch Office,Warning
80,14,42,1.28,24,Router,Branch Office,Warning
32,82,83,3.67,46,Firewall,Branch Office,Critical
73,55,27,1.66,62,Switch,HQ,Warning
77,68,120,3.58,34,Firewall,Branch Office,Critical
62,18,8,1.66,13,Router,Datacenter,Warning
29,39,120,2.78,39,Firewall,Branch Office,Critical
78,54,88,0.97,93,Switch,HQ,Warning
86,92,20,2.6,31,Switch,Branch Office,Critical
91,83,47,1.0,82,Firewall,HQ,Critical
8,19,29,2.92,84,Switch,HQ,Warning
56,39,109,1.82,28,Switch,Datacenter,Critical
8,25,82,4.53,51,Router,Datacenter,Critical
61,61,90,2.47,51,Switch,Datacenter,Warning
5,22,22,2.17,13,Firewall,Branch Office,Warning
80,88,91,4.94,76,Firewall,Branch Office,Critical
6,64,2,4.81,100,Switch,HQ,Critical
14,25,63,2.75,15,Switch,HQ,Warning
34,92,48,4.38,68,Router,HQ,Critical
66,20,94,4.62,16,Switch,Branch Office,Critical
32,60,67,1.97,49,Switch,Datacenter,Warning
59,25,31,2.01,19,Firewall,HQ,Warning
59,49,43,3.94,71,Router,Datacenter,Critical
29,76,97,2.31,97,Firewall,HQ,Critical
86,56,36,1.35,100,Firewall,HQ,Critical
22,70,93,1.05,95,Firewall,Datacenter,Critical
29,17,96,1.74,22,Firewall,HQ,Critical
10,15,88,4.91,18,Router,Branch Office,Critical
58,14,42,0.44,63,Switch,Datacenter,Healthy
85,23,11,0.64,36,Firewall,Branch Office,Warning
38,27,35,2.09,41,Switch,Branch Office,Warning
84,10,43,2.98,49,Switch,HQ,Warning
72,15,26,1.63,24,Switch,Datacenter,Warning
43,18,71,4.69,99,Switch,HQ,Critical
23,65,106,1.35,25,Router,Branch Office,Critical
43,44,19,3.4,12,Firewall,Branch Office,Critical
80,63,72,1.54,31,Switch,HQ,Warning
45,24,7,0.91,72,Router,Branch Office,Healthy
39,24,88,3.47,62,Router,Datacenter,Critical
97,89,51,4.22,67,Firewall,Datacenter,Critical
66,20,21,1.22,75,Firewall,HQ,Warning
36,46,80,0.96,97,Firewall,Branch Office,Warning
14,32,20,2.46,93,Switch,Branch Office,Warning
89,64,111,1.17,64,Firewall,HQ,Critical
39,82,17,3.73,46,Router,HQ,Critical
18,17,2,3.87,94,Router,HQ,Critical
69,86,87,1.28,35,Firewall,HQ,Warning
84,39,67,0.95,37,Firewall,HQ,Warning
83,37,69,0.07,67,Router,HQ,Warning
39,16,100,3.09,78,Firewall,Branch Office,Critical
90,17,47,4.45,82,Router,Branch Office,Critical
27,88,88,3.18,48,Firewall,HQ,Critical
10,83,12,0.65,75,Firewall,Datacenter,Warning
68,29,73,3.09,33,Switch,Branch Office,Critical
9,88,79,3.47,39,Switch,HQ,Critical
12,25,27,3.27,99,Switch,Branch Office,Critical
43,62,12,1.89,71,Router,Branch Office,Warning
63,35,104,1.36,35,Switch,Branch Office,Critical
97,76,53,4.47,37,Firewall,Branch Office,Critical
40,59,116,3.09,94,Switch,Datacenter,Critical
38,25,73,0.66,50,Router,HQ,Warning
85,88,113,2.53,99,Router,Branch Office,Critical
61,42,89,2.17,15,Firewall,HQ,Warning
96,70,112,0.5,65,Firewall,Datacenter,Critical
54,87,63,1.83,100,Router,HQ,Warning
66,38,61,2.55,11,Router,HQ,Warning
18,39,109,3.34,14,Firewall,HQ,Critical
14,10,11,4.56,29,Switch,Branch Office,Critical
23,73,28,2.49,42,Firewall,Branch Office,Warning
72,85,52,2.48,91,Router,HQ,Warning
61,36,91,1.52,53,Router,Branch Office,Critical
92,52,106,2.17,12,Switch,HQ,Critical
40,86,112,2.35,21,Router,HQ,Critical
31,42,74,2.93,51,Switch,Datacenter,Warning
88,87,69,3.83,50,Switch,Datacenter,Critical
56,51,35,3.39,53,Firewall,Datacenter,Critical
20,16,39,4.23,93,Router,HQ,Critical
37,10,104,1.38,48,Router,Branch Office,Critical
19,56,66,3.97,63,Switch,Datacenter,Critical
58,20,51,2.51,79,Router,Branch Office,Warning
9,44,112,4.4,88,Router,HQ,Critical
82,62,37,1.31,11,Router,HQ,Warning
90,84,1,3.29,54,Switch,HQ,Critical
43,65,112,4.9,14,Router,HQ,Critical
12,19,4,0.87,61,Switch,Branch Office,Healthy
73,39,108,3.48,84,Switch,Branch Office,Critical
76,18,9,2.04,27,Switch,Branch Office,Warning
68,45,42,1.05,71,Switch,Datacenter,Warning
73,41,72,4.3,22,Switch,Branch Office,Critical
37,84,94,4.73,13,Switch,Datacenter,Critical
19,38,49,2.48,88,Router,Datacenter,Warning
51,92,64,3.76,15,Switch,HQ,Critical
10,35,90,2.88,45,Switch,Branch Office,Warning
66,38,4,4.35,94,Router,HQ,Critical
6,71,108,1.92,42,Firewall,HQ,Critical
41,83,12,1.08,55,Router,Datacenter,Warning
46,47,91,1.43,41,Firewall,HQ,Critical
30,23,31,3.79,84,Switch,Datacenter,Critical
12,91,67,2.53,41,Firewall,HQ,Critical
16,48,41,0.46,10,Switch,Datacenter,Healthy
39,35,69,2.32,56,Switch,Branch Office,Warning
87,47,85,3.84,99,Router,Branch Office,Critical
53,10,115,0.11,32,Router,Datacenter,Critical
90,89,113,0.36,63,Switch,Branch Office,Critical
49,75,98,2.29,37,Router,Branch Office,Critical
56,56,114,1.33,66,Firewall,Branch Office,Critical
9,92,63,1.27,84,Router,Branch Office,Critical
26,19,104,4.08,12,Firewall,Branch Office,Critical
38,30,81,1.96,100,Switch,Datacenter,Warning
28,95,31,3.1,20,Switch,Branch Office,Critical
50,26,11,2.79,35,Switch,HQ,Warning
79,48,7,3.02,79,Switch,Branch Office,Critical
68,24,101,4.42,56,Switch,HQ,Critical
92,90,116,4.83,83,Firewall,Datacenter,Critical
46,16,50,3.72,30,Switch,Branch Office,Critical
51,94,16,1.22,14,Router,Datacenter,Critical
82,95,88,4.16,43,Switch,Branch Office,Critical
48,83,14,2.33,42,Switch,HQ,Warning
25,37,104,2.82,93,Switch,HQ,Critical
6,19,21,3.06,44,Router,Datacenter,Critical
61,93,109,2.96,69,Switch,HQ,Critical
80,70,78,0.67,94,Switch,HQ,Warning
75,52,120,0.56,82,Firewall,Datacenter,Critical
95,64,35,1.47,89,Firewall,HQ,Critical
38,72,11,0.51,98,Switch,Datacenter,Warning
71,83,33,1.37,34,Router,Branch Office,Warning
84,88,101,3.98,25,Switch,Datacenter,Critical
72,41,99,2.64,38,Switch,HQ,Critical
74,60,60,2.68,94,Firewall,HQ,Warning
47,36,83,2.8,36,Firewall,HQ,Warning
12,22,120,0.04,44,Switch,Branch Office,Critical
52,86,5,4.17,22,Router,HQ,Critical
11,28,103,4.66,42,Router,Branch Office,Critical
51,58,85,4.18,90,Switch,Branch Office,Critical
33,69,39,2.14,43,Router,Branch Office,Warning
43,55,22,3.31,36,Firewall,HQ,Critical
41,54,48,3.22,22,Firewall,HQ,Critical
6,35,104,4.67,60,Switch,Datacenter,Critical
20,88,47,4.84,69,Router,Branch Office,Critical
21,39,15,0.15,64,Router,HQ,Healthy
43,80,60,3.67,23,Router,Datacenter,Critical
6,77,94,3.76,24,Router,Datacenter,Critical
53,43,29,1.01,63,Switch,Branch Office,Warning
45,33,80,2.98,68,Firewall,Datacenter,Warning
8,37,22,2.84,39,Firewall,HQ,Warning
7,20,20,0.31,33,Switch,Branch Office,Healthy
49,51,99,2.83,20,Router,HQ,Critical
92,40,61,0.93,21,Switch,HQ,Critical
81,85,2,2.7,75,Router,Branch Office,Warning
5,22,27,2.79,49,Router,HQ,Warning
28,60,44,1.93,11,Firewall,Datacenter,Warning
96,23,11,1.47,59,Router,HQ,Critical
28,75,113,2.93,30,Switch,HQ,Critical
84,61,119,4.14,53,Firewall,Branch Office,Critical
8,15,100,4.05,18,Router,Branch Office,Critical
6,84,7,0.58,96,Router,HQ,Warning
